date,temp_max,temp_min,rain_mm,temp_avg
2013-01-01,21.1,15.6,2.8,18.35
2013-01-02,21.7,14.6,0.8,18.15
2013-01-03,21.2,15.1,1.5,18.15
2013-01-04,21.5,14.1,0.2,17.8
2013-01-05,21.4,14.2,0.0,17.799999999999997
2013-01-06,21.8,14.0,0.0,17.9
2013-01-07,22.0,14.1,0.0,18.05
2013-01-08,22.5,14.2,0.0,18.35
2013-01-09,22.6,15.1,0.0,18.85
2013-01-10,21.0,15.6,0.9,18.3
2013-01-11,21.5,14.4,0.3,17.95
2013-01-12,22.1,14.0,0.0,18.05
2013-01-13,22.0,13.4,0.0,17.7
2013-01-14,22.0,13.9,0.4,17.95
2013-01-15,22.4,13.9,0.0,18.15
2013-01-16,21.6,14.4,2.8,18.0
2013-01-17,20.8,15.3,2.4,18.05
2013-01-18,19.3,14.5,3.0,16.9
2013-01-19,19.9,13.6,0.0,16.75
2013-01-20,19.7,14.5,1.1,17.1
2013-01-21,20.8,14.5,0.0,17.65
2013-01-22,21.4,14.8,1.9,18.1
2013-01-23,21.2,14.8,2.1,18.0
2013-01-24,21.2,14.2,0.0,17.7
2013-01-25,19.9,14.5,2.1,17.2
2013-01-26,21.4,14.9,0.1,18.15
2013-01-27,21.5,14.2,0.0,17.85
2013-01-28,22.3,13.8,0.0,18.05
2013-01-29,22.0,14.9,0.3,18.45
2013-01-30,22.0,14.1,1.2,18.05
2013-01-31,21.2,15.0,0.2,18.1
2013-02-01,20.2,13.6,1.1,16.9
2013-02-02,20.2,12.9,0.0,16.55
2013-02-03,20.1,13.6,0.0,16.85
2013-02-04,22.4,13.7,0.0,18.049999999999997
2013-02-05,22.8,14.0,0.0,18.4
2013-02-06,22.2,14.1,0.0,18.15
2013-02-07,22.7,13.5,0.0,18.1
2013-02-08,22.6,13.6,0.0,18.1
2013-02-09,21.2,14.4,0.0,17.8
2013-02-10,21.9,14.0,0.0,17.95
2013-02-11,22.7,13.2,0.0,17.95
